method,K,n_users,llm_ndcg,llm_mean_score,llm_selected3_mean_score,llm_hit_ge2,llm_mrr_ge2,llm_relevant_rate_ge2,llm_has_3_ge2,llm_hit_ge3,llm_mrr_ge3,llm_relevant_rate_ge3,llm_has_3_ge3
author_retriever,5,40,0.8618862476014784,1.85,2.1833333333333336,0.925,0.8279166666666666,0.71,0.725,0.575,0.4833333333333333,0.33999999999999997,0.375
author_retriever,10,40,0.8435846668654003,1.7325,2.425,0.975,0.8346130952380951,0.6725,0.875,0.625,0.4910714285714285,0.2925,0.45
graphsage_author_metacluster,5,40,0.9115002627483616,1.85,2.191666666666667,0.875,0.8395833333333333,0.7050000000000001,0.725,0.625,0.5320833333333332,0.335,0.35
graphsage_author_metacluster,10,40,0.8663022261332012,1.6825000000000003,2.3666666666666667,0.925,0.8459325396825396,0.65,0.775,0.7,0.5412797619047619,0.28500000000000003,0.425
graphsage_transformer_author,5,40,0.8986610572267754,1.8599999999999999,2.2,0.925,0.8216666666666667,0.7150000000000001,0.75,0.65,0.5083333333333334,0.33499999999999996,0.3
graphsage_transformer_author,10,40,0.8489548580692929,1.7449999999999999,2.4916666666666663,0.975,0.8275694444444444,0.68,0.875,0.75,0.5213789682539682,0.29500000000000004,0.45
prop_appnp_s2_a0p1,5,40,0.850205874462316,1.5799999999999998,1.9583333333333333,0.875,0.7770833333333333,0.62,0.55,0.6,0.3958333333333333,0.22999999999999998,0.175
prop_appnp_s2_a0p1,10,40,0.8253072519674234,1.4425000000000001,2.2666666666666666,0.9,0.7806547619047619,0.5574999999999999,0.775,0.675,0.40388888888888885,0.21749999999999997,0.3
prop_lightgcn_l3_d1p0,5,40,0.8271497491860673,1.6300000000000001,2.0083333333333337,0.875,0.7474999999999999,0.63,0.625,0.575,0.44416666666666665,0.255,0.2
prop_lightgcn_l3_d1p0,10,40,0.8123976672506366,1.525,2.2666666666666666,0.9,0.7516666666666667,0.5900000000000001,0.75,0.7,0.4619742063492064,0.24000000000000005,0.325
